"","...1","Year","Month","Area","Boat","Gear","Nlength","TripDays","Catch","fYear","fMon","YrMonth","order"
"28",39,1992,10,"BayofBengal","BN370","Gillnet",500,4,210,1992,10,"Oct92",39
"29",40,1992,10,"BayofBengal","BN371","Gillnet",300,5,20,1992,10,"Oct92",40
"30",41,1992,10,"BayofBengal","BN373","Gillnet",300,6,1080,1992,10,"Oct92",41
"31",42,1992,10,"BayofBengal","BN374","Gillnet",150,5,160,1992,10,"Oct92",42
"32",43,1992,10,"BayofBengal","BN375","Gillnet",500,3,120,1992,10,"Oct92",43
"33",44,1992,10,"BayofBengal","BN376","Gillnet",300,6,140,1992,10,"Oct92",44
"34",45,1992,10,"BayofBengal","BN377","Gillnet",300,6,250,1992,10,"Oct92",45
"35",46,1992,10,"BayofBengal","BN378","Gillnet",300,5,380,1992,10,"Oct92",46
"36",47,1992,10,"BayofBengal","BN379","Gillnet",300,3,360,1992,10,"Oct92",47
"37",48,1992,10,"BayofBengal","BN380","Gillnet",300,4,240,1992,10,"Oct92",48
"38",49,1992,10,"BayofBengal","BN381","Gillnet",300,4,200,1992,10,"Oct92",49
"39",50,1992,10,"BayofBengal","BN382","Gillnet",300,4,200,1992,10,"Oct92",50
"40",51,1992,10,"BayofBengal","BN384","Gillnet",240,2,200,1992,10,"Oct92",51
"41",83,1992,8,"BayofBengal","BN138","Gillnet",75,1,2,1992,8,"Aug92",83
"42",84,1992,8,"BayofBengal","BN139","Gillnet",60,1,4,1992,8,"Aug92",84
"43",85,1992,8,"BayofBengal","BN140","Gillnet",50,1,0,1992,8,"Aug92",85
"44",86,1992,8,"BayofBengal","BN141","Gillnet",65,1,4,1992,8,"Aug92",86
"45",87,1992,8,"BayofBengal","BN142","Gillnet",75,1,0,1992,8,"Aug92",87
"46",88,1992,8,"BayofBengal","BN143","Gillnet",75,1,3,1992,8,"Aug92",88
"47",89,1992,8,"BayofBengal","BN144","Gillnet",75,1,5,1992,8,"Aug92",89
"48",90,1992,8,"BayofBengal","BN145","Gillnet",80,1,1,1992,8,"Aug92",90
"49",91,1992,9,"BayofBengal","BN248","Gillnet",350,7,4,1992,9,"Sep92",91
"50",92,1992,9,"BayofBengal","BN260","Gillnet",100,1,4,1992,9,"Sep92",92
"51",93,1992,9,"BayofBengal","BN261","Gillnet",150,1,0,1992,9,"Sep92",93
"52",94,1992,9,"BayofBengal","BN262","Gillnet",80,1,0,1992,9,"Sep92",94
"53",95,1992,9,"BayofBengal","BN263","Gillnet",100,1,0,1992,9,"Sep92",95
"54",96,1992,9,"BayofBengal","BN264","Gillnet",60,1,2,1992,9,"Sep92",96
"55",97,1992,9,"BayofBengal","BN265","Gillnet",60,1,3,1992,9,"Sep92",97
"56",98,1992,9,"BayofBengal","BN266","Gillnet",60,1,0,1992,9,"Sep92",98
"57",99,1992,9,"BayofBengal","BN267","Gillnet",80,1,2,1992,9,"Sep92",99
"58",100,1992,9,"BayofBengal","BN268","Gillnet",50,1,0,1992,9,"Sep92",100
"59",101,1992,9,"BayofBengal","BN269","Gillnet",60,1,0,1992,9,"Sep92",101
"60",102,1992,9,"BayofBengal","BN270","Gillnet",60,1,4,1992,9,"Sep92",102
"61",103,1992,9,"BayofBengal","BN271","Gillnet",75,1,1,1992,9,"Sep92",103
"62",104,1992,9,"BayofBengal","BN272","Gillnet",150,1,0,1992,9,"Sep92",104
"63",105,1992,9,"BayofBengal","BN273","Gillnet",100,1,1,1992,9,"Sep92",105
"64",106,1992,9,"BayofBengal","BN274","Gillnet",80,1,2,1992,9,"Sep92",106
"65",107,1992,9,"BayofBengal","BN275","Gillnet",100,1,2,1992,9,"Sep92",107
"66",108,1992,9,"BayofBengal","BN276","Gillnet",50,1,2,1992,9,"Sep92",108
"67",109,1992,9,"BayofBengal","BN277","Gillnet",100,1,2,1992,9,"Sep92",109
"68",110,1992,9,"BayofBengal","BN278","Gillnet",150,1,1,1992,9,"Sep92",110
"69",111,1992,9,"BayofBengal","BN279","Gillnet",100,1,6,1992,9,"Sep92",111
"70",112,1992,9,"BayofBengal","BN280","Gillnet",80,1,3,1992,9,"Sep92",112
"71",113,1992,9,"BayofBengal","BN281","Gillnet",70,1,2,1992,9,"Sep92",113
"72",114,1992,9,"BayofBengal","BN282","Gillnet",75,1,2,1992,9,"Sep92",114
"73",115,1992,9,"BayofBengal","BN283","Gillnet",60,1,2,1992,9,"Sep92",115
"74",116,1992,9,"BayofBengal","BN284","Gillnet",50,1,2,1992,9,"Sep92",116
"75",117,1992,10,"BayofBengal","BN396","Gillnet",50,1,2,1992,10,"Oct92",117
"76",118,1992,10,"BayofBengal","BN397","Gillnet",150,1,2,1992,10,"Oct92",118
"77",119,1992,10,"BayofBengal","BN398","Gillnet",100,1,5,1992,10,"Oct92",119
"78",120,1992,10,"BayofBengal","BN399","Gillnet",70,1,5,1992,10,"Oct92",120
"79",121,1992,10,"BayofBengal","BN465","Gillnet",75,1,15,1992,10,"Oct92",121
"80",122,1992,10,"BayofBengal","BN466","Gillnet",100,1,10,1992,10,"Oct92",122
"81",123,1992,10,"BayofBengal","BN467","Gillnet",250,1,3,1992,10,"Oct92",123
"82",124,1992,10,"BayofBengal","BN468","Gillnet",65,1,0,1992,10,"Oct92",124
"83",125,1992,10,"BayofBengal","BN469","Gillnet",75,1,5,1992,10,"Oct92",125
"84",126,1992,10,"BayofBengal","BN470","Gillnet",250,1,10,1992,10,"Oct92",126
"85",127,1992,10,"BayofBengal","BN471","Gillnet",100,1,6,1992,10,"Oct92",127
"86",128,1992,10,"BayofBengal","BN472","Gillnet",350,1,15,1992,10,"Oct92",128
"87",129,1992,10,"BayofBengal","BN473","Gillnet",150,1,7,1992,10,"Oct92",129
"88",130,1992,10,"BayofBengal","BN474","Gillnet",100,1,2,1992,10,"Oct92",130
"89",131,1992,10,"BayofBengal","BN475","Gillnet",170,1,6,1992,10,"Oct92",131
"90",132,1992,10,"BayofBengal","BN476","Gillnet",120,1,5,1992,10,"Oct92",132
"91",133,1992,10,"BayofBengal","BN477","Gillnet",150,1,4,1992,10,"Oct92",133
"92",134,1992,10,"BayofBengal","BN478","Gillnet",100,1,5,1992,10,"Oct92",134
"93",288,1992,8,"LowerMeghna","BN209","Gillnet",62,1,0,1992,8,"Aug92",288
"94",289,1992,8,"LowerMeghna","BN210","Gillnet",65,1,4,1992,8,"Aug92",289
"95",290,1992,8,"LowerMeghna","BN211","Gillnet",59,1,3,1992,8,"Aug92",290
"96",291,1992,8,"LowerMeghna","BN212","Gillnet",35,1,2,1992,8,"Aug92",291
"97",292,1992,8,"LowerMeghna","BN213","Gillnet",39,1,3,1992,8,"Aug92",292
"98",293,1992,8,"LowerMeghna","BN214","Gillnet",75,1,2,1992,8,"Aug92",293
"99",294,1992,8,"LowerMeghna","BN215","Gillnet",44,1,2,1992,8,"Aug92",294
"100",295,1992,8,"LowerMeghna","BN216","Gillnet",36,1,2,1992,8,"Aug92",295
"101",296,1992,8,"LowerMeghna","BN217","Gillnet",32,1,0,1992,8,"Aug92",296
"102",297,1992,8,"LowerMeghna","BN218","Gillnet",33,1,0,1992,8,"Aug92",297
"103",298,1992,8,"LowerMeghna","BN219","Gillnet",41,1,2,1992,8,"Aug92",298
"104",299,1992,8,"LowerMeghna","BN220","Gillnet",64,1,5,1992,8,"Aug92",299
"105",300,1992,8,"LowerMeghna","BN221","Gillnet",70,1,7,1992,8,"Aug92",300
"106",301,1992,8,"LowerMeghna","BN222","Gillnet",38,1,2,1992,8,"Aug92",301
"107",302,1992,8,"LowerMeghna","BN223","Gillnet",34,1,3,1992,8,"Aug92",302
"108",303,1992,8,"LowerMeghna","BN224","Gillnet",35,1,2,1992,8,"Aug92",303
"109",304,1992,8,"LowerMeghna","BN225","Gillnet",67,1,0,1992,8,"Aug92",304
"110",305,1992,8,"LowerMeghna","BN226","Gillnet",75,1,1,1992,8,"Aug92",305
"111",306,1992,8,"LowerMeghna","BN227","Gillnet",50,1,5,1992,8,"Aug92",306
"112",307,1992,8,"LowerMeghna","BN228","Gillnet",52,1,6,1992,8,"Aug92",307
"113",308,1992,8,"LowerMeghna","BN229","Gillnet",48,1,0,1992,8,"Aug92",308
"114",309,1992,8,"LowerMeghna","BN230","Gillnet",25,1,0,1992,8,"Aug92",309
"115",310,1992,8,"LowerMeghna","BN231","Gillnet",45,1,0,1992,8,"Aug92",310
"116",311,1992,8,"LowerMeghna","BN232","Gillnet",52,1,3,1992,8,"Aug92",311
"117",312,1992,8,"LowerMeghna","BN233","Gillnet",52,1,0,1992,8,"Aug92",312
"118",313,1992,8,"LowerMeghna","BN234","Gillnet",40,1,0,1992,8,"Aug92",313
"119",314,1992,8,"LowerMeghna","BN235","Gillnet",36,1,0,1992,8,"Aug92",314
"120",315,1992,8,"LowerMeghna","BN236","Gillnet",78,1,2,1992,8,"Aug92",315
"121",316,1992,8,"LowerMeghna","BN237","Gillnet",103,1,4,1992,8,"Aug92",316
"122",317,1992,8,"LowerMeghna","BN238","Gillnet",33,1,0,1992,8,"Aug92",317
"123",318,1992,8,"LowerMeghna","BN239","Gillnet",42,1,4,1992,8,"Aug92",318
"124",319,1992,8,"LowerMeghna","BN240","Gillnet",31,1,0,1992,8,"Aug92",319
"125",320,1992,8,"LowerMeghna","BN241","Gillnet",32,1,0,1992,8,"Aug92",320
"126",321,1992,8,"LowerMeghna","BN242","Gillnet",35,1,4,1992,8,"Aug92",321
"127",322,1992,8,"LowerMeghna","BN243","Gillnet",34,1,0,1992,8,"Aug92",322
"128",323,1992,8,"LowerMeghna","BN244","Gillnet",57,1,5,1992,8,"Aug92",323
"129",324,1992,8,"LowerMeghna","BN245","Gillnet",56,1,1,1992,8,"Aug92",324
"130",325,1992,8,"LowerMeghna","BN246","Gillnet",67,1,8,1992,8,"Aug92",325
"131",326,1992,8,"LowerMeghna","BN247","Gillnet",65,1,3,1992,8,"Aug92",326
"132",327,1992,9,"LowerMeghna","BN334","Gillnet",59,1,4,1992,9,"Sep92",327
"133",328,1992,9,"LowerMeghna","BN335","Gillnet",62,1,7,1992,9,"Sep92",328
"134",329,1992,9,"LowerMeghna","BN336","Gillnet",50,1,3,1992,9,"Sep92",329
"135",330,1992,9,"LowerMeghna","BN337","Gillnet",53,1,5,1992,9,"Sep92",330
"136",331,1992,9,"LowerMeghna","BN338","Gillnet",33,1,3,1992,9,"Sep92",331
"137",332,1992,9,"LowerMeghna","BN339","Gillnet",58,1,7,1992,9,"Sep92",332
"138",333,1992,9,"LowerMeghna","BN340","Gillnet",46,1,5,1992,9,"Sep92",333
"139",334,1992,9,"LowerMeghna","BN341","Gillnet",41,1,4,1992,9,"Sep92",334
"140",335,1992,9,"LowerMeghna","BN342","Gillnet",29,1,3,1992,9,"Sep92",335
"141",336,1992,9,"LowerMeghna","BN343","Gillnet",45,1,7,1992,9,"Sep92",336
"142",337,1992,9,"LowerMeghna","BN344","Gillnet",45,1,5,1992,9,"Sep92",337
"143",338,1992,9,"LowerMeghna","BN345","Gillnet",52,1,7,1992,9,"Sep92",338
"144",339,1992,9,"LowerMeghna","BN346","Gillnet",32,1,3,1992,9,"Sep92",339
"145",340,1992,9,"LowerMeghna","BN347","Gillnet",51,1,0,1992,9,"Sep92",340
"146",341,1992,9,"LowerMeghna","BN348","Gillnet",51,1,0,1992,9,"Sep92",341
"147",342,1992,9,"LowerMeghna","BN349","Gillnet",40,1,7,1992,9,"Sep92",342
"148",343,1992,9,"LowerMeghna","BN350","Gillnet",38,1,4,1992,9,"Sep92",343
"149",344,1992,9,"LowerMeghna","BN351","Gillnet",38,1,15,1992,9,"Sep92",344
"150",345,1992,9,"LowerMeghna","BN352","Gillnet",37,1,6,1992,9,"Sep92",345
"151",346,1992,9,"LowerMeghna","BN353","Gillnet",73,1,20,1992,9,"Sep92",346
"152",347,1992,9,"LowerMeghna","BN354","Gillnet",72,1,15,1992,9,"Sep92",347
"153",348,1992,9,"LowerMeghna","BN355","Gillnet",23,1,0,1992,9,"Sep92",348
"154",349,1992,9,"LowerMeghna","BN356","Gillnet",19,1,2,1992,9,"Sep92",349
"155",350,1992,9,"LowerMeghna","BN357","Gillnet",55,1,0,1992,9,"Sep92",350
"156",351,1992,9,"LowerMeghna","BN358","Gillnet",29,1,5,1992,9,"Sep92",351
"157",352,1992,9,"LowerMeghna","BN359","Gillnet",64,1,7,1992,9,"Sep92",352
"158",353,1992,9,"LowerMeghna","BN360","Gillnet",62,1,0,1992,9,"Sep92",353
"159",354,1992,9,"LowerMeghna","BN361","Gillnet",72,1,0,1992,9,"Sep92",354
"160",355,1992,9,"LowerMeghna","BN362","Gillnet",75,1,12,1992,9,"Sep92",355
"161",356,1992,9,"LowerMeghna","BN363","Gillnet",42,1,4,1992,9,"Sep92",356
"162",357,1992,9,"LowerMeghna","BN364","Gillnet",40,1,3,1992,9,"Sep92",357
"163",358,1992,9,"LowerMeghna","BN365","Gillnet",69,1,17,1992,9,"Sep92",358
"164",359,1992,9,"LowerMeghna","BN366","Gillnet",57,1,4,1992,9,"Sep92",359
"165",360,1992,10,"LowerMeghna","BN430","Gillnet",31,1,4,1992,10,"Oct92",360
"166",361,1992,10,"LowerMeghna","BN431","Gillnet",42,1,4,1992,10,"Oct92",361
"167",362,1992,10,"LowerMeghna","BN432","Gillnet",57,1,9,1992,10,"Oct92",362
"168",363,1992,10,"LowerMeghna","BN433","Gillnet",43,1,6,1992,10,"Oct92",363
"169",364,1992,10,"LowerMeghna","BN434","Gillnet",30,1,4,1992,10,"Oct92",364
"170",365,1992,10,"LowerMeghna","BN435","Gillnet",37,1,0,1992,10,"Oct92",365
"171",366,1992,10,"LowerMeghna","BN436","Gillnet",45,1,9,1992,10,"Oct92",366
"172",367,1992,10,"LowerMeghna","BN437","Gillnet",37,1,5,1992,10,"Oct92",367
"173",368,1992,10,"LowerMeghna","BN438","Gillnet",30,1,4,1992,10,"Oct92",368
"174",369,1992,10,"LowerMeghna","BN439","Gillnet",42,1,2,1992,10,"Oct92",369
"175",370,1992,10,"LowerMeghna","BN440","Gillnet",37,1,4,1992,10,"Oct92",370
"176",371,1992,10,"LowerMeghna","BN441","Gillnet",61,1,9,1992,10,"Oct92",371
"177",372,1992,10,"LowerMeghna","BN442","Gillnet",32,1,7,1992,10,"Oct92",372
"178",373,1992,10,"LowerMeghna","BN443","Gillnet",38,1,4,1992,10,"Oct92",373
"179",374,1992,10,"LowerMeghna","BN444","Gillnet",62,1,8,1992,10,"Oct92",374
"180",375,1992,10,"LowerMeghna","BN445","Gillnet",33,1,4,1992,10,"Oct92",375
"181",376,1992,10,"LowerMeghna","BN446","Gillnet",37,1,3,1992,10,"Oct92",376
"182",377,1992,10,"LowerMeghna","BN447","Gillnet",68,1,10,1992,10,"Oct92",377
"183",378,1992,10,"LowerMeghna","BN448","Gillnet",58,1,13,1992,10,"Oct92",378
"184",379,1992,10,"LowerMeghna","BN449","Gillnet",34,1,7,1992,10,"Oct92",379
"185",380,1992,10,"LowerMeghna","BN450","Gillnet",36,1,2,1992,10,"Oct92",380
"186",381,1992,10,"LowerMeghna","BN451","Gillnet",55,1,4,1992,10,"Oct92",381
"187",382,1992,10,"LowerMeghna","BN452","Gillnet",55,1,5,1992,10,"Oct92",382
"188",383,1992,10,"LowerMeghna","BN453","Gillnet",35,1,5,1992,10,"Oct92",383
"189",384,1992,10,"LowerMeghna","BN454","Gillnet",35,1,7,1992,10,"Oct92",384
"190",385,1992,10,"LowerMeghna","BN455","Gillnet",69,1,14,1992,10,"Oct92",385
"191",386,1992,10,"LowerMeghna","BN456","Gillnet",67,1,8,1992,10,"Oct92",386
"192",387,1992,10,"LowerMeghna","BN457","Gillnet",39,1,3,1992,10,"Oct92",387
"193",388,1992,10,"LowerMeghna","BN458","Gillnet",44,1,9,1992,10,"Oct92",388
"194",389,1992,10,"LowerMeghna","BN459","Gillnet",44,1,0,1992,10,"Oct92",389
"195",390,1992,10,"LowerMeghna","BN460","Gillnet",82,1,6,1992,10,"Oct92",390
"196",391,1992,10,"LowerMeghna","BN461","Gillnet",31,1,2,1992,10,"Oct92",391
"197",392,1992,10,"LowerMeghna","BN462","Gillnet",30,1,0,1992,10,"Oct92",392
"198",393,1992,10,"LowerMeghna","BN463","Gillnet",75,1,130,1992,10,"Oct92",393
"199",394,1992,10,"LowerMeghna","BN464","Gillnet",79,1,344,1992,10,"Oct92",394
"200",653,1992,8,"LowerPadma","BN151","Gillnet",22,1,0,1992,8,"Aug92",653
"201",654,1992,8,"LowerPadma","BN158","Gillnet",20,1,0,1992,8,"Aug92",654
"202",655,1992,8,"LowerPadma","BN159","Gillnet",20,1,1,1992,8,"Aug92",655
"203",656,1992,8,"LowerPadma","BN160","Gillnet",22,1,1,1992,8,"Aug92",656
"204",657,1992,8,"LowerPadma","BN161","Gillnet",1,1,1,1992,8,"Aug92",657
"205",658,1992,8,"LowerPadma","BN162","Gillnet",45,1,8,1992,8,"Aug92",658
"206",659,1992,8,"LowerPadma","BN163","Gillnet",30,1,1,1992,8,"Aug92",659
"207",660,1992,8,"LowerPadma","BN164","Gillnet",18,1,3,1992,8,"Aug92",660
"208",661,1992,8,"LowerPadma","BN165","Gillnet",1,1,0,1992,8,"Aug92",661
"209",662,1992,8,"LowerPadma","BN166","Gillnet",20,1,4,1992,8,"Aug92",662
"210",663,1992,8,"LowerPadma","BN167","Gillnet",25,1,0,1992,8,"Aug92",663
"211",664,1992,8,"LowerPadma","BN168","Gillnet",30,1,0,1992,8,"Aug92",664
"212",665,1992,8,"LowerPadma","BN169","Gillnet",25,1,0,1992,8,"Aug92",665
"213",666,1992,8,"LowerPadma","BN170","Gillnet",45,1,2,1992,8,"Aug92",666
"214",667,1992,8,"LowerPadma","BN171","Gillnet",30,1,7,1992,8,"Aug92",667
"215",668,1992,8,"LowerPadma","BN172","Gillnet",25,1,0,1992,8,"Aug92",668
"216",669,1992,8,"LowerPadma","BN173","Gillnet",25,1,7,1992,8,"Aug92",669
"217",670,1992,8,"LowerPadma","BN174","Gillnet",20,1,0,1992,8,"Aug92",670
"218",671,1992,8,"LowerPadma","BN175","Gillnet",25,1,4,1992,8,"Aug92",671
"219",672,1992,8,"LowerPadma","BN176","Gillnet",20,1,0,1992,8,"Aug92",672
"220",673,1992,8,"LowerPadma","BN177","Gillnet",25,1,0,1992,8,"Aug92",673
"221",674,1992,8,"LowerPadma","BN178","Gillnet",22,1,4,1992,8,"Aug92",674
"222",675,1992,8,"LowerPadma","BN179","Gillnet",20,1,0,1992,8,"Aug92",675
"223",676,1992,8,"LowerPadma","BN180","Gillnet",20,1,9,1992,8,"Aug92",676
"224",677,1992,8,"LowerPadma","BN181","Gillnet",20,1,7,1992,8,"Aug92",677
"225",678,1992,8,"LowerPadma","BN182","Gillnet",30,1,7,1992,8,"Aug92",678
"226",679,1992,9,"LowerPadma","BN285","Gillnet",22,1,6,1992,9,"Sep92",679
"227",680,1992,9,"LowerPadma","BN286","Gillnet",25,1,2,1992,9,"Sep92",680
"228",681,1992,9,"LowerPadma","BN287","Gillnet",22,1,0,1992,9,"Sep92",681
"229",682,1992,9,"LowerPadma","BN288","Gillnet",20,1,0,1992,9,"Sep92",682
"230",683,1992,9,"LowerPadma","BN289","Gillnet",22,1,0,1992,9,"Sep92",683
"231",684,1992,9,"LowerPadma","BN290","Gillnet",32,1,5,1992,9,"Sep92",684
"232",685,1992,9,"LowerPadma","BN291","Gillnet",20,1,3,1992,9,"Sep92",685
"233",686,1992,9,"LowerPadma","BN292","Gillnet",26,1,5,1992,9,"Sep92",686
"234",687,1992,9,"LowerPadma","BN293","Gillnet",19,1,5,1992,9,"Sep92",687
"235",688,1992,9,"LowerPadma","BN294","Gillnet",25,1,0,1992,9,"Sep92",688
"236",689,1992,9,"LowerPadma","BN295","Gillnet",40,1,6,1992,9,"Sep92",689
"237",690,1992,9,"LowerPadma","BN296","Gillnet",23,1,2,1992,9,"Sep92",690
"238",691,1992,9,"LowerPadma","BN297","Gillnet",22,1,1,1992,9,"Sep92",691
"239",692,1992,9,"LowerPadma","BN298","Gillnet",22,1,0,1992,9,"Sep92",692
"240",693,1992,9,"LowerPadma","BN299","Gillnet",20,1,4,1992,9,"Sep92",693
"241",694,1992,9,"LowerPadma","BN300","Gillnet",20,1,5,1992,9,"Sep92",694
"242",695,1992,9,"LowerPadma","BN301","Gillnet",20,1,3,1992,9,"Sep92",695
"243",696,1992,9,"LowerPadma","BN302","Gillnet",22,1,4,1992,9,"Sep92",696
"244",697,1992,9,"LowerPadma","BN303","Gillnet",20,1,7,1992,9,"Sep92",697
"245",698,1992,9,"LowerPadma","BN304","Gillnet",20,1,4,1992,9,"Sep92",698
"246",699,1992,9,"LowerPadma","BN305","Gillnet",20,1,0,1992,9,"Sep92",699
"247",700,1992,9,"LowerPadma","BN306","Gillnet",20,1,0,1992,9,"Sep92",700
"248",701,1992,9,"LowerPadma","BN307","Gillnet",20,1,0,1992,9,"Sep92",701
"249",702,1992,9,"LowerPadma","BN308","Gillnet",21,1,8,1992,9,"Sep92",702
"250",703,1992,10,"LowerPadma","BN400","Gillnet",36,1,3,1992,10,"Oct92",703
"251",704,1992,10,"LowerPadma","BN401","Gillnet",18,1,3,1992,10,"Oct92",704
"252",705,1992,10,"LowerPadma","BN402","Gillnet",22,1,0,1992,10,"Oct92",705
"253",706,1992,10,"LowerPadma","BN403","Gillnet",22,1,0,1992,10,"Oct92",706
"254",707,1992,10,"LowerPadma","BN404","Gillnet",20,1,5,1992,10,"Oct92",707
"255",708,1992,10,"LowerPadma","BN405","Gillnet",25,1,7,1992,10,"Oct92",708
"256",709,1992,10,"LowerPadma","BN406","Gillnet",22,1,0,1992,10,"Oct92",709
"257",710,1992,10,"LowerPadma","BN407","Gillnet",20,1,6,1992,10,"Oct92",710
"258",711,1992,10,"LowerPadma","BN408","Gillnet",22,1,8,1992,10,"Oct92",711
"259",712,1992,10,"LowerPadma","BN409","Gillnet",18,1,8,1992,10,"Oct92",712
"260",713,1992,10,"LowerPadma","BN410","Gillnet",22,1,0,1992,10,"Oct92",713
"261",714,1992,10,"LowerPadma","BN411","Gillnet",20,1,3,1992,10,"Oct92",714
"262",715,1992,10,"LowerPadma","BN412","Gillnet",20,1,6,1992,10,"Oct92",715
"263",716,1992,10,"LowerPadma","BN413","Gillnet",22,1,9,1992,10,"Oct92",716
"264",717,1992,10,"LowerPadma","BN414","Gillnet",22,1,0,1992,10,"Oct92",717
"265",718,1992,10,"LowerPadma","BN415","Gillnet",18,1,0,1992,10,"Oct92",718
"266",719,1992,10,"LowerPadma","BN416","Gillnet",22,1,0,1992,10,"Oct92",719
