"","Year","Month","Mon","Station","Gear","Catch","Effort"
"134",2019,"Aug",8,2,"Gillnet",0.169,2184
"135",2019,"Aug",8,3,"Gillnet",0.227,1730
"136",2020,"Aug",8,1,"Gillnet",0.643,11911
"137",2020,"Aug",8,2,"Gillnet",0.163,2510
"138",2020,"Aug",8,3,"Gillnet",0.585,2203
"139",1998,"Dec",12,1,"Gillnet",3.163,10448
"140",1998,"Dec",12,2,"Gillnet",4.978,12418
"141",1998,"Dec",12,3,"Gillnet",14.165,25615
"142",1999,"Dec",12,1,"Gillnet",3.588,12397
"143",1999,"Dec",12,2,"Gillnet",7.485,16583
"144",1999,"Dec",12,3,"Gillnet",15.829,24341
"145",2000,"Dec",12,1,"Gillnet",11.099,25624
"146",2000,"Dec",12,2,"Gillnet",13.452,32726
"147",2000,"Dec",12,3,"Gillnet",15.221,31376
"148",2001,"Dec",12,1,"Gillnet",9.529,22885
"149",2001,"Dec",12,2,"Gillnet",5.963,13954
"150",2001,"Dec",12,3,"Gillnet",13.761,22495
"151",2002,"Dec",12,1,"Gillnet",11.311,27960
"152",2002,"Dec",12,2,"Gillnet",6.54,14372
"153",2002,"Dec",12,3,"Gillnet",6.602,13367
"154",2003,"Dec",12,1,"Gillnet",15.306,25337
"155",2003,"Dec",12,2,"Gillnet",2.261,9543
"156",2003,"Dec",12,3,"Gillnet",14.006,28589
"157",2004,"Dec",12,1,"Gillnet",9.198,22997
"158",2004,"Dec",12,2,"Gillnet",1.124,7084
"159",2004,"Dec",12,3,"Gillnet",7.772,20636
"160",2005,"Dec",12,1,"Gillnet",9.158,19499
"161",2005,"Dec",12,2,"Gillnet",1.261,5347
"162",2005,"Dec",12,3,"Gillnet",4.029,15191
"163",2006,"Dec",12,1,"Gillnet",11.642,30612
"164",2006,"Dec",12,2,"Gillnet",1.493,5104
"165",2006,"Dec",12,3,"Gillnet",11.594,26267
"166",2007,"Dec",12,1,"Gillnet",10.294,27941
"167",2007,"Dec",12,2,"Gillnet",1.173,6691
"168",2007,"Dec",12,3,"Gillnet",13.454,28918
"169",2008,"Dec",12,1,"Gillnet",5.23,21974
"170",2008,"Dec",12,2,"Gillnet",2.337,4375
"171",2008,"Dec",12,3,"Gillnet",8.597,20977
"172",2009,"Dec",12,1,"Gillnet",5.518,20416
"173",2009,"Dec",12,2,"Gillnet",0.641,4517
"174",2009,"Dec",12,3,"Gillnet",5.987,19873
"175",2010,"Dec",12,1,"Gillnet",6.524,26985
"176",2010,"Dec",12,2,"Gillnet",0.363,5570
"177",2010,"Dec",12,3,"Gillnet",4.781,11653
"178",2011,"Dec",12,1,"Gillnet",13.528,22752
"179",2011,"Dec",12,2,"Gillnet",0.765,1498
"180",2011,"Dec",12,3,"Gillnet",14.048,25874
"181",2012,"Dec",12,1,"Gillnet",2.163,6965
"182",2012,"Dec",12,2,"Gillnet",0.032,843
"183",2012,"Dec",12,3,"Gillnet",2.975,10790
"184",2013,"Dec",12,1,"Gillnet",6.154,18503
"185",2013,"Dec",12,2,"Gillnet",2.093,1649
"186",2013,"Dec",12,3,"Gillnet",4.259,15294
"187",2014,"Dec",12,1,"Gillnet",8.322,19184
"188",2014,"Dec",12,2,"Gillnet",3.149,4024
"189",2014,"Dec",12,3,"Gillnet",3.658,15965
"190",2015,"Dec",12,1,"Gillnet",7.382,20218
"191",2015,"Dec",12,2,"Gillnet",0.002,24
"192",2015,"Dec",12,3,"Gillnet",4.325,12232
"193",2016,"Dec",12,1,"Gillnet",2.682,5495
"194",2016,"Dec",12,2,"Gillnet",2.408,3675
"195",2016,"Dec",12,3,"Gillnet",2.157,6907
"196",2017,"Dec",12,1,"Gillnet",4.692,22564
"197",2017,"Dec",12,2,"Gillnet",0.974,1240
"198",2017,"Dec",12,3,"Gillnet",2.133,9486
"199",2018,"Dec",12,1,"Gillnet",6.351,23077
"200",2018,"Dec",12,2,"Gillnet",0.042,200
"201",2018,"Dec",12,3,"Gillnet",4.508,9193
"202",2019,"Dec",12,1,"Gillnet",4.682,14319
"203",2019,"Dec",12,2,"Gillnet",0.093,38
"204",2019,"Dec",12,3,"Gillnet",5.734,8481
"205",2020,"Dec",12,1,"Gillnet",7.933,19664
"206",2020,"Dec",12,2,"Gillnet",1.55,789
"207",2020,"Dec",12,3,"Gillnet",5.375,8864
"208",1998,"Feb",2,1,"Gillnet",2.021,16268
"209",1998,"Feb",2,2,"Gillnet",3.514,10453
"210",1998,"Feb",2,3,"Gillnet",6.17,12862
"211",1999,"Feb",2,1,"Gillnet",1.141,20091
"212",1999,"Feb",2,2,"Gillnet",1.209,12071
"213",1999,"Feb",2,3,"Gillnet",2.658,15921
"214",2000,"Feb",2,1,"Gillnet",3.386,31733
"215",2000,"Feb",2,2,"Gillnet",2.678,18358
"216",2000,"Feb",2,3,"Gillnet",4.056,15037
"217",2001,"Feb",2,1,"Gillnet",1.08,18523
"218",2001,"Feb",2,2,"Gillnet",0.801,15894
"219",2001,"Feb",2,3,"Gillnet",1.934,14089
"220",2002,"Feb",2,1,"Gillnet",1.873,30459
"221",2002,"Feb",2,2,"Gillnet",1.104,15916
"222",2002,"Feb",2,3,"Gillnet",3.028,13190
"223",2003,"Feb",2,1,"Gillnet",5.976,48618
"224",2003,"Feb",2,2,"Gillnet",6.412,37493
"225",2003,"Feb",2,3,"Gillnet",8.733,28108
"226",2004,"Feb",2,1,"Gillnet",9.788,49809
"227",2004,"Feb",2,2,"Gillnet",5.958,27886
"228",2004,"Feb",2,3,"Gillnet",10.056,30251
"229",2005,"Feb",2,1,"Gillnet",9.222,34230
"230",2005,"Feb",2,2,"Gillnet",1.89,15739
"231",2005,"Feb",2,3,"Gillnet",3.66,16644
"232",2006,"Feb",2,1,"Gillnet",4.924,44638
"233",2006,"Feb",2,2,"Gillnet",1.028,16239
"234",2006,"Feb",2,3,"Gillnet",5.683,32612
"235",2007,"Feb",2,1,"Gillnet",9.091,47865
"236",2007,"Feb",2,2,"Gillnet",1.732,9788
"237",2007,"Feb",2,3,"Gillnet",8.826,20664
"238",2008,"Feb",2,1,"Gillnet",4.183,12989
"239",2008,"Feb",2,2,"Gillnet",2.45,3906
"240",2008,"Feb",2,3,"Gillnet",5.143,11202
"241",2009,"Feb",2,1,"Gillnet",4.44,48736
"242",2009,"Feb",2,2,"Gillnet",0.358,8763
"243",2009,"Feb",2,3,"Gillnet",3.106,13692
"244",2010,"Feb",2,1,"Gillnet",1.992,36941
"245",2010,"Feb",2,2,"Gillnet",0.333,11673
"246",2010,"Feb",2,3,"Gillnet",4.081,23307
"247",2011,"Feb",2,1,"Gillnet",3.02,31045
"248",2011,"Feb",2,2,"Gillnet",0.303,6639
"249",2011,"Feb",2,3,"Gillnet",3.594,18564
"250",2012,"Feb",2,1,"Gillnet",10.683,43856
"251",2012,"Feb",2,2,"Gillnet",1.731,7584
"252",2012,"Feb",2,3,"Gillnet",6.035,16789
"253",2013,"Feb",2,1,"Gillnet",3.421,35226
"254",2013,"Feb",2,2,"Gillnet",0.685,8136
"255",2013,"Feb",2,3,"Gillnet",3.937,14022
"256",2014,"Feb",2,1,"Gillnet",4.432,32028
"257",2014,"Feb",2,2,"Gillnet",0.598,8204
"258",2014,"Feb",2,3,"Gillnet",3.487,14875
"259",2015,"Feb",2,1,"Gillnet",4.826,19222
"260",2015,"Feb",2,2,"Gillnet",0.057,193
"261",2015,"Feb",2,3,"Gillnet",2.154,7092
"262",2016,"Feb",2,1,"Gillnet",2.997,20867
"263",2016,"Feb",2,2,"Gillnet",0.347,1542
"264",2016,"Feb",2,3,"Gillnet",2.802,8706
"265",2017,"Feb",2,1,"Gillnet",2.391,21554
"266",2017,"Feb",2,2,"Gillnet",0.761,3712
"267",2017,"Feb",2,3,"Gillnet",2.447,12580
"268",2018,"Feb",2,1,"Gillnet",3.006,21839
"269",2018,"Feb",2,2,"Gillnet",0.331,1656
"270",2018,"Feb",2,3,"Gillnet",2.11,9336
"271",2019,"Feb",2,1,"Gillnet",1.663,19116
"272",2019,"Feb",2,2,"Gillnet",0.156,240
"273",2019,"Feb",2,3,"Gillnet",1.827,4460
"274",2020,"Feb",2,1,"Gillnet",0.6,6730
"275",2020,"Feb",2,2,"Gillnet",0.821,556
"276",2020,"Feb",2,3,"Gillnet",1.189,1275
"277",1998,"Jan",1,1,"Gillnet",7.786,12786
"278",1998,"Jan",1,2,"Gillnet",8.558,15857
"279",1998,"Jan",1,3,"Gillnet",29.768,27008
"280",1999,"Jan",1,1,"Gillnet",0.596,12049
"281",1999,"Jan",1,2,"Gillnet",2.181,6811
"282",1999,"Jan",1,3,"Gillnet",4.414,16135
"283",2000,"Jan",1,1,"Gillnet",3.383,15147
"284",2000,"Jan",1,2,"Gillnet",5.644,14197
"285",2000,"Jan",1,3,"Gillnet",8.97,17201
"286",2001,"Jan",1,1,"Gillnet",6.923,22331
"287",2001,"Jan",1,2,"Gillnet",7.497,21671
"288",2001,"Jan",1,3,"Gillnet",8.378,28012
"289",2002,"Jan",1,1,"Gillnet",2.992,26823
"290",2002,"Jan",1,2,"Gillnet",1.464,15679
"291",2002,"Jan",1,3,"Gillnet",2.904,13328
"292",2003,"Jan",1,1,"Gillnet",7.464,49285
"293",2003,"Jan",1,2,"Gillnet",8.439,35106
"294",2003,"Jan",1,3,"Gillnet",8.59,25698
"295",2004,"Jan",1,1,"Gillnet",10.813,37998
"296",2004,"Jan",1,2,"Gillnet",2.984,17031
"297",2004,"Jan",1,3,"Gillnet",8.422,19796
"298",2005,"Jan",1,1,"Gillnet",9.952,17621
"299",2005,"Jan",1,2,"Gillnet",1.307,4078
"300",2005,"Jan",1,3,"Gillnet",5.729,15528
"301",2006,"Jan",1,1,"Gillnet",7.271,34533
"302",2006,"Jan",1,2,"Gillnet",4.101,9828
"303",2006,"Jan",1,3,"Gillnet",5.431,17519
"304",2007,"Jan",1,1,"Gillnet",5.761,23464
"305",2007,"Jan",1,2,"Gillnet",1.489,3972
"306",2007,"Jan",1,3,"Gillnet",8.095,15826
"307",2008,"Jan",1,1,"Gillnet",3.223,15381
"308",2008,"Jan",1,2,"Gillnet",0.679,1330
"309",2008,"Jan",1,3,"Gillnet",5.869,12634
"310",2009,"Jan",1,1,"Gillnet",7.01,24392
"311",2009,"Jan",1,2,"Gillnet",0.826,5785
"312",2009,"Jan",1,3,"Gillnet",3.258,9840
"313",2010,"Jan",1,1,"Gillnet",3.236,37088
"314",2010,"Jan",1,2,"Gillnet",0.643,10801
"315",2010,"Jan",1,3,"Gillnet",3.855,21354
"316",2011,"Jan",1,1,"Gillnet",5.943,43621
"317",2011,"Jan",1,2,"Gillnet",0.406,7682
"318",2011,"Jan",1,3,"Gillnet",4.7,19796
"319",2012,"Jan",1,1,"Gillnet",10.351,19535
"320",2012,"Jan",1,2,"Gillnet",3.139,4887
"321",2012,"Jan",1,3,"Gillnet",6.322,8953
"322",2013,"Jan",1,1,"Gillnet",7.594,29343
"323",2013,"Jan",1,2,"Gillnet",0.158,4350
"324",2013,"Jan",1,3,"Gillnet",5.435,12643
"325",2014,"Jan",1,1,"Gillnet",8.436,21233
"326",2014,"Jan",1,2,"Gillnet",2.016,3921
"327",2014,"Jan",1,3,"Gillnet",3.794,9105
"328",2015,"Jan",1,1,"Gillnet",4.04,18349
"329",2015,"Jan",1,2,"Gillnet",1.048,1553
"330",2015,"Jan",1,3,"Gillnet",1.424,3655
"331",2016,"Jan",1,1,"Gillnet",5.946,21431
"332",2016,"Jan",1,2,"Gillnet",0.105,2108
"333",2016,"Jan",1,3,"Gillnet",3.945,9494
"334",2017,"Jan",1,1,"Gillnet",4.435,20993
"335",2017,"Jan",1,2,"Gillnet",0.497,1452
"336",2017,"Jan",1,3,"Gillnet",1.654,7086
"337",2018,"Jan",1,1,"Gillnet",2.509,11533
"338",2018,"Jan",1,2,"Gillnet",0.128,210
"339",2018,"Jan",1,3,"Gillnet",1.763,3745
"340",2019,"Jan",1,1,"Gillnet",2.869,20834
"341",2019,"Jan",1,2,"Gillnet",0.52,1990
"342",2019,"Jan",1,3,"Gillnet",2.136,1839
"343",2020,"Jan",1,1,"Gillnet",2.657,11062
"344",2020,"Jan",1,2,"Gillnet",1.103,204
"345",2020,"Jan",1,3,"Gillnet",2.25,1210
"346",1998,"Jul",7,1,"Gillnet",0.281,2638
"347",1998,"Jul",7,2,"Gillnet",0.128,3670
"348",1998,"Jul",7,3,"Gillnet",1.505,3088
"349",1999,"Jul",7,1,"Gillnet",0.034,444
"350",1999,"Jul",7,2,"Gillnet",0.047,2597
"351",1999,"Jul",7,3,"Gillnet",0.74,3316
"352",2000,"Jul",7,1,"Gillnet",0.057,1690
"353",2000,"Jul",7,2,"Gillnet",0.02,746
"354",2000,"Jul",7,3,"Gillnet",0.439,2406
"355",2001,"Jul",7,1,"Gillnet",0.275,3154
"356",2001,"Jul",7,2,"Gillnet",0.013,583
"357",2001,"Jul",7,3,"Gillnet",0.29,2353
"358",2002,"Jul",7,1,"Gillnet",0.068,1652
"359",2002,"Jul",7,2,"Gillnet",0.032,1297
"360",2002,"Jul",7,3,"Gillnet",0.571,2714
"361",2003,"Jul",7,1,"Gillnet",0.869,8465
"362",2003,"Jul",7,2,"Gillnet",0.127,1204
"363",2003,"Jul",7,3,"Gillnet",1.625,4761
"364",2004,"Jul",7,1,"Gillnet",1.096,5983
"365",2004,"Jul",7,2,"Gillnet",0.123,1053
"366",2004,"Jul",7,3,"Gillnet",1.5,6842
"367",2005,"Jul",7,1,"Gillnet",0.784,9987
"368",2005,"Jul",7,2,"Gillnet",0.15,2978
"369",2005,"Jul",7,3,"Gillnet",1.067,5541
"370",2006,"Jul",7,1,"Gillnet",0.429,7975
"371",2006,"Jul",7,2,"Gillnet",0.015,563
"372",2006,"Jul",7,3,"Gillnet",0.946,7446
"373",2007,"Jul",7,1,"Gillnet",0.223,8749
"374",2007,"Jul",7,2,"Gillnet",0.008,1144
"375",2007,"Jul",7,3,"Gillnet",0.696,5599
"376",2008,"Jul",7,1,"Gillnet",0.223,6967
"377",2008,"Jul",7,2,"Gillnet",0.014,397
"378",2008,"Jul",7,3,"Gillnet",0.63,5844
"379",2009,"Jul",7,1,"Gillnet",0.216,7958
"380",2009,"Jul",7,2,"Gillnet",0.005,251
"381",2009,"Jul",7,3,"Gillnet",0.133,4091
"382",2010,"Jul",7,1,"Gillnet",0.643,7961
"383",2010,"Jul",7,2,"Gillnet",0.01,1074
"384",2010,"Jul",7,3,"Gillnet",0.356,4682
"385",2011,"Jul",7,1,"Gillnet",0.408,6419
"386",2011,"Jul",7,2,"Gillnet",0.001,193
"387",2011,"Jul",7,3,"Gillnet",0.649,4843
"388",2012,"Jul",7,1,"Gillnet",0.336,5807
"389",2012,"Jul",7,2,"Gillnet",0.016,341
"390",2012,"Jul",7,3,"Gillnet",0.256,5840
"391",2013,"Jul",7,1,"Gillnet",0.185,3344
"392",2013,"Jul",7,2,"Gillnet",0.02,161
"393",2013,"Jul",7,3,"Gillnet",0.445,3914
"394",2014,"Jul",7,1,"Gillnet",0.281,5040
"395",2014,"Jul",7,2,"Gillnet",0.001,274
"396",2014,"Jul",7,3,"Gillnet",0.081,2590
"397",2015,"Jul",7,1,"Gillnet",0.301,3285
"398",2015,"Jul",7,3,"Gillnet",0.186,3036
"399",2016,"Jul",7,1,"Gillnet",0.124,3932
"400",2016,"Jul",7,2,"Gillnet",0.001,20
"401",2016,"Jul",7,3,"Gillnet",0.207,1403
"402",2017,"Jul",7,1,"Gillnet",0.355,1710
"403",2017,"Jul",7,3,"Gillnet",0.17,2512
"404",2018,"Jul",7,1,"Gillnet",0.287,2624
"405",2018,"Jul",7,2,"Gillnet",0.001,20
"406",2018,"Jul",7,3,"Gillnet",0.104,1145
"407",2019,"Jul",7,1,"Gillnet",0.185,3036
"408",2019,"Jul",7,2,"Gillnet",0.051,720
"409",2019,"Jul",7,3,"Gillnet",0.092,1118
"410",2020,"Jul",7,1,"Gillnet",0.141,2812
"411",2020,"Jul",7,2,"Gillnet",0.031,804
"412",2020,"Jul",7,3,"Gillnet",0.221,1617
"413",1998,"Jun",6,1,"Gillnet",1.292,8214
"414",1998,"Jun",6,2,"Gillnet",1.163,3604
"415",1998,"Jun",6,3,"Gillnet",3.61,10841
"416",1999,"Jun",6,1,"Gillnet",0.256,3482
"417",1999,"Jun",6,2,"Gillnet",0.419,3379
"418",1999,"Jun",6,3,"Gillnet",0.95,6198
"419",2000,"Jun",6,1,"Gillnet",0.319,4194
"420",2000,"Jun",6,2,"Gillnet",0.425,4101
"421",2000,"Jun",6,3,"Gillnet",1.754,8423
"422",2001,"Jun",6,1,"Gillnet",0.34,6509
"423",2001,"Jun",6,2,"Gillnet",0.554,4533
"424",2001,"Jun",6,3,"Gillnet",1.099,7926
"425",2002,"Jun",6,1,"Gillnet",0.307,8935
"426",2002,"Jun",6,2,"Gillnet",0.191,3395
"427",2002,"Jun",6,3,"Gillnet",1.054,4919
"428",2003,"Jun",6,1,"Gillnet",3.021,18875
"429",2003,"Jun",6,2,"Gillnet",3.018,6529
"430",2003,"Jun",6,3,"Gillnet",5.169,11443
"431",2004,"Jun",6,1,"Gillnet",1.248,8314
"432",2004,"Jun",6,2,"Gillnet",2.109,6365
"433",2004,"Jun",6,3,"Gillnet",1.658,8169
"434",2005,"Jun",6,1,"Gillnet",3.243,11347
"435",2005,"Jun",6,2,"Gillnet",1.584,7343
"436",2005,"Jun",6,3,"Gillnet",2.512,10698
"437",2006,"Jun",6,1,"Gillnet",0.802,10670
"438",2006,"Jun",6,2,"Gillnet",2.092,7936
"439",2006,"Jun",6,3,"Gillnet",1.878,10852
"440",2007,"Jun",6,1,"Gillnet",0.882,6842
"441",2007,"Jun",6,2,"Gillnet",0.521,3555
"442",2007,"Jun",6,3,"Gillnet",1.088,6785
"443",2008,"Jun",6,1,"Gillnet",0.776,6498
"444",2008,"Jun",6,2,"Gillnet",0.145,831
"445",2008,"Jun",6,3,"Gillnet",0.886,7089
"446",2009,"Jun",6,1,"Gillnet",0.706,10550
"447",2009,"Jun",6,2,"Gillnet",0.143,2542
"448",2009,"Jun",6,3,"Gillnet",1.112,8902
"449",2010,"Jun",6,1,"Gillnet",0.972,15985
"450",2010,"Jun",6,2,"Gillnet",0.436,2164
"451",2010,"Jun",6,3,"Gillnet",1.782,9162
"452",2011,"Jun",6,1,"Gillnet",0.999,9217
"453",2011,"Jun",6,2,"Gillnet",0.845,5050
"454",2011,"Jun",6,3,"Gillnet",1.413,5786
"455",2012,"Jun",6,1,"Gillnet",0.423,3859
"456",2012,"Jun",6,2,"Gillnet",1.099,4205
"457",2012,"Jun",6,3,"Gillnet",1.072,6465
"458",2013,"Jun",6,1,"Gillnet",0.374,3665
"459",2013,"Jun",6,2,"Gillnet",0.145,1117
"460",2013,"Jun",6,3,"Gillnet",0.822,6508
"461",2014,"Jun",6,1,"Gillnet",0.269,6004
"462",2014,"Jun",6,2,"Gillnet",0.005,474
"463",2014,"Jun",6,3,"Gillnet",0.364,4368
"464",2015,"Jun",6,1,"Gillnet",0.364,4284
"465",2015,"Jun",6,2,"Gillnet",0.135,453
"466",2015,"Jun",6,3,"Gillnet",0.97,5647
"467",2016,"Jun",6,1,"Gillnet",0.069,609
"468",2016,"Jun",6,2,"Gillnet",0.024,132
"469",2016,"Jun",6,3,"Gillnet",0.416,3298
"470",2017,"Jun",6,1,"Gillnet",0.242,1894
"471",2017,"Jun",6,2,"Gillnet",0.199,562
"472",2017,"Jun",6,3,"Gillnet",1.135,4019
"473",2018,"Jun",6,1,"Gillnet",0.142,1006
"474",2018,"Jun",6,3,"Gillnet",0.649,1991
"475",2019,"Jun",6,1,"Gillnet",0.015,590
"476",2019,"Jun",6,3,"Gillnet",0.536,1834
"477",2020,"Jun",6,1,"Gillnet",1.13,3686
"478",2020,"Jun",6,3,"Gillnet",1.009,3409
"479",1998,"Mar",3,1,"Gillnet",2.205,15087
"480",1998,"Mar",3,2,"Gillnet",2.141,9740
"481",1998,"Mar",3,3,"Gillnet",5.079,16402
